"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Eric Moreland",3000,"Sac@GS 10:30PM ET",2.583,"Sac"
"SF","Jonathon Simmons",3000,"Atl@SA 08:30PM ET",7.688,"SA"
"PG","Marcelo Huertas",3000,"LAL@Por 10:00PM ET",10.844,"LAL"
"C","Salah Mejri",3000,"Den@Dal 08:30PM ET",2.350,"Dal"
"PG","Ray McCallum",3000,"Atl@SA 08:30PM ET",2.425,"SA"
"SF","Pat Connaughton",3000,"LAL@Por 10:00PM ET",1.563,"Por"
"PF","Larry Nance Jr.",3000,"LAL@Por 10:00PM ET",10.861,"LAL"
"PF","James Michael McAdoo",3000,"Sac@GS 10:30PM ET",4.542,"GS"
"SG","Norman Powell",3000,"Tor@Was 07:00PM ET",3.406,"Tor"
"C","Lucas Nogueira",3000,"Tor@Was 07:00PM ET",3.500,"Tor"
"SF","Kostas Papanikolaou",3000,"Den@Dal 08:30PM ET",3.938,"Den"
"SF","Sergey Karasev",3000,"Bkn@Cle 07:30PM ET",2.833,"Bkn"
"SF","Kyle Anderson",3000,"Atl@SA 08:30PM ET",8.016,"SA"
"SF","Justin Anderson",3000,"Den@Dal 08:30PM ET",5.625,"Dal"
"SF","Anthony Bennett",3000,"Tor@Was 07:00PM ET",4.000,"Tor"
"PG","Raul Neto",3000,"NO@Uta 09:00PM ET",12.089,"Uta"
"PG","Delon Wright",3000,"Tor@Was 07:00PM ET",1.125,"Tor"
"PF","Noah Vonleh",3000,"LAL@Por 10:00PM ET",7.719,"Por"
"PG","Dante Exum",3000,"NO@Uta 09:00PM ET",0,"Uta"
"SF","Bruno Caboclo",3000,"Tor@Was 07:00PM ET",0.000,"Tor"
"C","Walter Tavares",3000,"Atl@SA 08:30PM ET",1.500,"Atl"
"PF","Cliff Alexander",3000,"LAL@Por 10:00PM ET",4.875,"Por"
"SF","Kelly Oubre Jr.",3000,"Tor@Was 07:00PM ET",6.844,"Was"
"PF","Trey Lyles",3000,"NO@Uta 09:00PM ET",4.958,"Uta"
"PF","Kevon Looney",3000,"Sac@GS 10:30PM ET",0,"GS"
"PF","Chris McCullough",3000,"Bkn@Cle 07:30PM ET",0,"Bkn"
"SF","Luis Montero",3000,"LAL@Por 10:00PM ET",2.125,"Por"
